2466860	323468
2466900	323191
2467170	322734
2467510	320545
2467760	320048
2467850	319565
2468110	319489
2469020	318287
2469800	318164
2470080	317239
2470510	316796
2470930	315999
2471330	315139
2472090	314920
2472290	314534
2472680	313951
2473140	313809
2473160	313448
2474050	312906
2474070	312605
2474480	312494
2474560	312235
2474950	311750
2475310	311357
2475740	311075
2476290	311067
2476660	311019
2476740	310598
2477450	310313
2477620	310179
2477720	310009
2478200	309661
2478320	309457
2479070	309201
2479080	308937
2479500	308719
2479710	308654
2479930	308505
2480190	308398
2480550	308140
2480790	308077
2481250	307904
2481480	307783
2481660	307732
2482000	307602
2482400	307432
2482600	307381
2482830	307356
2483030	307247
2483060	307214
2483340	307094
2483390	307057
2483660	306995
2483800	306925
2483990	306913
2483990	306892
2484250	306771
2484350	306733
2484400	306693
2484740	306617
2484820	306529
2485130	306393
2485310	306349
2485660	306299
2485780	306271
2485820	306207
2486010	306157
2486120	306028
2486540	305876
2486670	305865
2487030	305705
2487170	305696
2487360	305651
2487440	305547
2487700	305544
2487940	305446
2487980	305399
2488100	305374
2488420	305224
2488420	305183
2488820	305095
2488840	305026
2488940	305020
2489270	304876
2489310	304827
2489790	304646
2490240	304625
2490250	304489
2490630	304296
2491110	304137
2491520	303978
2492060	303815
2492200	303797
2492520	303664
2492670	303618
2493070	303549
2493160	303480
2493580	303371
2493640	303343
2494120	303278
2494230	303216
2494260	303210
2494640	303138
2494750	303103
2494770	303049
2495140	303028
2495260	302936
2495340	302916
2495750	302873
2495870	302808
2495910	302782
2496290	302732
2496310	302665
2496430	302651
2496840	302591
2496880	302538
2496920	302493
2497390	302376
2497500	302376
2497910	302319
2497940	302224
2498070	302223
2498360	302059
2499020	301947
2499070	301931
2499550	301866
2499570	301798
2500130	301705
2500150	301649
2500610	301548
2501150	301499
2501230	301419
2501240	301394
2501510	301391
2501760	301239
2502220	301191
2502300	301100
2502730	301083
2502800	301056
2502800	301031
2502960	300972
2502990	300971
2503150	300947
2503250	300938
2503390	300909
2503470	300899
2503490	300821
2503710	300804
2503790	300786
2503900	300727
2504170	300674
2504200	300673
2504490	300636
2504510	300571
2504740	300549
2504780	300524
2504910	300404
2505600	300347
2505600	300263
2506240	300184
2506240	300128
2506860	300070
2506890	299967
2507470	299941
2507500	299837
2508160	299802
2508220	299707
2508810	299544
2509450	299393
2510190	299261
2510910	299136
2511480	299123
2511770	299121
2512020	299093
2512460	298840
2512930	298826
2513010	298802
2513420	298774
2513420	298735
2513680	298656
2513890	298561
2514400	298520
2514650	298417
2515080	298365
2515360	298255
2515560	298219
2516240	298113
2517090	297974
2517140	297961
2517200	297939
2518090	297888
2518390	297884
2518520	297867
2518700	297644
2518750	297631
2519340	297508
2519900	297465
2520390	297457
2520480	297340
2520590	297335
2521110	297294
2521370	297260
2521450	297196
2521660	297178
2522030	297163
2522140	297013
2522960	297012
2523250	296963
2523390	296893
2523820	296867
2524390	296815
2524390	296732
2524940	296708
2525510	296671
2525840	296624
2525910	296565
2526550	296514
2526900	296400
2528250	296272
2528840	296199
2529150	296087
2530710	295935
2531270	295876
2531850	295819
2532300	295794
2532460	295774
2532870	295718
2533160	295653
2533710	295635
2533910	295569
2534960	295540
2535440	295490
2535960	295437
2536030	295351
2536420	295334
2536950	295248
2538250	295215
2538570	295130
2539330	295078
2539400	295011
2540600	294973
2540760	294934
2541160	294912
2542140	294804
2543010	294623
2544410	294550
2546120	294444
2547790	294332
2548610	294214
2549330	294198
2549900	294185
2550430	294150
2551430	293965
2553330	293962
2554370	293793
2555030	293762
2557340	293761
2558170	293653
2558290	293590
2558790	293559
2562060	293378
2562070	293349
2562410	293338
2562880	293331
2569590	293183
2571710	293109
2572690	292875
2572950	292874
2573630	292849
2588400	292366
2591710	292281
2594900	292234
