30

150	470	80	80	786.7988	38.5397	0.1524	450	0.041	103.3908	-2.4444	0.0312	0.5035	0.0207
135	470	80	80	451.3251	46.1591	0.1058	600	0.036	103.3908	-2.4444	0.0312	0.5035	0.0207
73	340	80	80	1049.9977	40.3965	0.028	320	0.028	300.391	-4.0695	0.0509	0.4968	0.0202
60	300	50	50	1243.5311	38.3055	0.0354	260	0.052	300.391	-4.0695	0.0509	0.4968	0.0202
73	243	50	50	1658.5696	36.3278	0.0211	280	0.063	320.0006	-3.8132	0.0344	0.4972	0.02
57	160	50	50	1356.6592	38.2704	0.0179	310	0.048	320.0006	-3.8132	0.0344	0.4972	0.02
20	130	30	30	1450.7045	36.5104	0.0121	300	0.086	330.0056	-3.9023	0.0465	0.5163	0.0214
47	120	30	30	1450.7045	36.5104	0.0121	340	0.082	330.0056	-3.9023	0.0465	0.5163	0.0214
20	80	30	30	1455.6056	39.5804	0.109	270	0.098	350.0056	-3.9524	0.0465	0.5475	0.0234
10	55	30	30	1469.4026	40.5407	0.1295	380	0.094	360.0012	-3.9864	0.047	0.5475	0.0234
150	470	80	80	786.7988	38.5397	0.1524	450	0.041	103.3908	-2.4444	0.0312	0.5035	0.0207
135	470	80	80	451.3251	46.1591	0.1058	600	0.036	103.3908	-2.4444	0.0312	0.5035	0.0207
73	340	80	80	1049.9977	40.3965	0.028	320	0.028	300.391	-4.0695	0.0509	0.4968	0.0202
60	300	50	50	1243.5311	38.3055	0.0354	260	0.052	300.391	-4.0695	0.0509	0.4968	0.0202
73	243	50	50	1658.5696	36.3278	0.0211	280	0.063	320.0006	-3.8132	0.0344	0.4972	0.02
57	160	50	50	1356.6592	38.2704	0.0179	310	0.048	320.0006	-3.8132	0.0344	0.4972	0.02
20	130	30	30	1450.7045	36.5104	0.0121	300	0.086	330.0056	-3.9023	0.0465	0.5163	0.0214
47	120	30	30	1450.7045	36.5104	0.0121	340	0.082	330.0056	-3.9023	0.0465	0.5163	0.0214
20	80	30	30	1455.6056	39.5804	0.109	270	0.098	350.0056	-3.9524	0.0465	0.5475	0.0234
10	55	30	30	1469.4026	40.5407	0.1295	380	0.094	360.0012	-3.9864	0.047	0.5475	0.0234
150	470	80	80	786.7988	38.5397	0.1524	450	0.041	103.3908	-2.4444	0.0312	0.5035	0.0207
135	470	80	80	451.3251	46.1591	0.1058	600	0.036	103.3908	-2.4444	0.0312	0.5035	0.0207
73	340	80	80	1049.9977	40.3965	0.028	320	0.028	300.391	-4.0695	0.0509	0.4968	0.0202
60	300	50	50	1243.5311	38.3055	0.0354	260	0.052	300.391	-4.0695	0.0509	0.4968	0.0202
73	243	50	50	1658.5696	36.3278	0.0211	280	0.063	320.0006	-3.8132	0.0344	0.4972	0.02
57	160	50	50	1356.6592	38.2704	0.0179	310	0.048	320.0006	-3.8132	0.0344	0.4972	0.02
20	130	30	30	1450.7045	36.5104	0.0121	300	0.086	330.0056	-3.9023	0.0465	0.5163	0.0214
47	120	30	30	1450.7045	36.5104	0.0121	340	0.082	330.0056	-3.9023	0.0465	0.5163	0.0214
20	80	30	30	1455.6056	39.5804	0.109	270	0.098	350.0056	-3.9524	0.0465	0.5475	0.0234
10	55	30	30	1469.4026	40.5407	0.1295	380	0.094	360.0012	-3.9864	0.047	0.5475	0.0234

24

3108	3330	3774	4218	4440	4884	5106	5328	5772	6216	6438	6660	6216	5772	5328	4662	4440	4884	5328	6216	5772	4884	3996	3552

2
