40

36	114	34.2	34.2	94.705	6.73	0.0069	100	0.084	60	−2.22	0.048	1.31	0.0569
36	114	34.2	34.2	94.705	6.73	0.0069	100	0.084	60	−2.22	0.048	1.31	0.0569
60	120	36	36	309.54	7.07	0.02028	100	0.084	100	−2.36	0.0762	1.31	0.0569
80	190	57	57	369.03	8.18	0.00942	150	0.063	120	−3.14	0.054	0.9142	0.0454
47	97	29.1	29.1	148.89	5.35	0.0114	120	0.077	50	−1.89	0.085	0.9936	0.0406
68	140	42	42	222.33	8.05	0.01142	100	0.084	80	−3.08	0.0854	1.31	0.0569
110	300	90	90	287.71	8.03	0.00357	200	0.042	100	−3.06	0.0242	0.655	0.0285
135	300	90	90	391.98	6.99	0.00492	200	0.042	130	−2.32	0.031	0.655	0.0285
135	300	90	90	455.76	6.6	0.00573	200	0.042	150	−2.11	0.0335	0.655	0.0285
130	300	90	90	722.82	12.9	0.00605	200	0.042	280	−4.34	0.425	0.655	0.0285
94	375	112.5	112.5	635.2	12.9	0.00515	200	0.042	220	−4.34	0.0322	0.655	0.0285
94	375	112.5	112.5	654.69	12.8	0.00569	200	0.042	225	−4.28	0.0338	0.655	0.0285
125	500	150	150	913.4	12.5	0.00421	300	0.035	300	−4.18	0.0296	0.5035	0.0208
125	500	150	150	1760.4	8.84	0.00752	300	0.035	520	−3.34	0.0512	0.5035	0.0208
125	500	150	150	1728.3	9.15	0.00708	300	0.035	510	−3.55	0.0496	0.5035	0.0208
125	500	150	150	1728.3	9.15	0.00708	300	0.035	510	−3.55	0.0496	0.5035	0.0208
220	500	150	150	647.85	7.97	0.00313	300	0.035	220	−2.68	0.0151	0.5035	0.0208
220	500	150	150	649.69	7.95	0.00313	300	0.035	222	−2.66	0.0151	0.5035	0.0208
242	550	165	165	647.83	7.97	0.00313	300	0.035	220	−2.68	0.0151	0.5035	0.0208
242	550	165	165	647.81	7.97	0.00313	300	0.035	220	−2.68	0.0151	0.5035	0.0208
254	550	165	165	785.96	6.63	0.00298	300	0.035	290	−2.22	0.0145	0.5035	0.0208
254	550	165	165	785.96	6.63	0.00298	300	0.035	285	−2.22	0.0145	0.5035	0.0208
254	550	165	165	794.53	6.66	0.00284	300	0.035	295	−2.26	0.0138	0.5035	0.0208
254	550	165	165	794.53	6.66	0.00284	300	0.035	295	−2.26	0.0138	0.5035	0.0208
254	550	165	165	801.32	7.1	0.00277	300	0.035	310	−2.42	0.0132	0.5035	0.0208
254	550	165	165	801.32	7.1	0.00277	300	0.035	310	−2.42	0.0132	0.5035	0.0208
10	150	45	45	1055.1	3.33	0.52124	120	0.077	360	−1.11	1.842	0.9936	0.0406
10	150	45	45	1055.1	3.33	0.52124	120	0.077	360	−1.11	1.842	0.9936	0.0406
10	150	45	45	1055.1	3.33	0.52124	120	0.077	360	−1.11	1.842	0.9936	0.0406
47	97	29.1	29.1	148.89	5.35	0.0114	120	0.077	50	−1.89	0.085	0.9936	0.0406
60	190	57	57	222.92	6.43	0.0016	150	0.063	80	−2.08	0.0121	0.9142	0.0454
60	190	57	57	222.92	6.43	0.0016	150	0.063	80	−2.08	0.0121	0.9142	0.0454
60	190	57	57	222.92	6.43	0.0016	150	0.063	80	−2.08	0.0121	0.9142	0.0454
90	200	60	60	107.87	8.95	0.0001	200	0.042	65	−3.48	0.0012	0.655	0.0285
90	200	60	60	116.58	8.62	0.0001	200	0.042	70	−3.24	0.0012	0.655	0.0285
90	200	60	60	116.58	8.62	0.0001	200	0.042	70	−3.24	0.0012	0.655	0.0285
25	110	33	33	307.45	5.88	0.0161	80	0.098	100	−1.98	0.095	1.42	0.0677
25	110	33	33	307.45	5.88	0.0161	80	0.098	100	−1.98	0.095	1.42	0.0677
25	110	33	33	307.45	5.88	0.0161	80	0.098	100	−1.98	0.095	1.42	0.0677
242	550	165	165	647.83	7.97	0.00313	300	0.035	220	−2.68	0.0151	0.5035	0.0208

24

6080	5570	5690	5820	7110	8230	9350	10800	10240	10050	10460	10830	11500	9060	8580	7870	8540	10830	11250	11520	10840	9150	7880	7000

2
