10																							
																							
150	470	80	80	786.7988	38.5397	0.1524	450	0.041	103.3908	-2.4444	0.0312	0.5035	0.0207										
135	470	80	80	451.3251	46.1591	0.1058	600	0.036	103.3908	-2.4444	0.0312	0.5035	0.0207										
73	340	80	80	1049.9977	40.3965	0.0280	320	0.028	300.3910	-4.0695	0.0509	0.4968	0.0202										
60	300	50	50	1243.5311	38.3055	0.0354	260	0.052	300.3910	-4.0695	0.0509	0.4968	0.0202										
73	243	50	50	1658.5696	36.3278	0.0211	280	0.063	320.0006	-3.8132	0.0344	0.4972	0.0200										
57	160	50	50	1356.6592	38.2704	0.0179	310	0.048	320.0006	-3.8132	0.0344	0.4972	0.0200										
20	130	30	30	1450.7045	36.5104	0.0121	300	0.086	330.0056	-3.9023	0.0465	0.5163	0.0214										
47	120	30	30	1450.7045	36.5104	0.0121	340	0.082	330.0056	-3.9023	0.0465	0.5163	0.0214										
20	80	30	30	1455.6056	39.5804	0.109	270	0.098	350.0056	-3.9524	0.0465	0.5475	0.0234										
10	55	30	30	1469.4026	40.5407	0.1295	380	0.094	360.0012	-3.9864	0.0470	0.5475	0.0234										
																							
24																							
																							
1036	1110	1258	1406	1480	1628	1702	1776	1924	2022	2106	2150	2072	1924	1776	1554	1480	1628	1776	1972	1924	1628	1332	1184
																							
2																							
