15

0.00014	0.00012	0.00007	-0.00001	-0.00003	-0.00001	-0.00001	-0.00001	-0.00003	0.00005	-0.00003	-0.00002	0.00004	0.00003	-0.00001
0.00012	0.00015	0.00013	0.00000	-0.00005	-0.00002	0.00000	0.00001	-0.00002	-0.00004	-0.00004	0.00000	0.00004	0.00010	-0.00002
0.00007	0.00013	0.00076	-0.00001	-0.00013	-0.00009	-0.00001	0.00000	-0.00008	-0.00012	-0.00017	0.00000	-0.00026	0.00111	-0.00028
-0.00001	0.00000	-0.00001	0.00034	-0.00007	-0.00004	0.00011	0.00050	0.00029	0.00032	-0.00011	0.00000	0.00001	0.00001	-0.00026
-0.00003	-0.00005	-0.00013	-0.00007	0.00090	0.00014	-0.00003	-0.00012	-0.00010	-0.00013	0.00007	-0.00002	-0.00002	-0.00024	-0.00003
-0.00001	-0.00002	-0.00009	-0.00004	0.00014	0.00016	0.00000	-0.00006	-0.00005	-0.00008	0.00011	-0.00001	-0.00002	-0.00017	0.00003
-0.00001	0.00000	-0.00001	0.00011	-0.00003	0.00000	0.00015	0.00017	0.00015	0.00009	-0.00005	0.00007	0.00000	-0.00002	-0.00008
-0.00001	0.00001	0.00000	0.00050	-0.00012	-0.00006	0.00017	0.00168	0.00082	0.00079	-0.00023	-0.00036	0.00001	0.00005	-0.00078
-0.00003	-0.00002	-0.00008	0.00029	-0.00010	-0.00005	0.00015	0.00082	0.00129	0.00116	-0.00021	-0.00025	0.00007	-0.00012	-0.00072
-0.00005	-0.00004	-0.00012	0.00032	-0.00013	-0.00008	0.00009	0.00079	0.00116	0.00200	-0.00027	-0.00034	0.00009	-0.00011	-0.00088
-0.00003	-0.00004	-0.00017	-0.00011	0.00007	0.00011	-0.00005	-0.00023	-0.00021	-0.00027	0.00140	0.00001	0.00004	-0.00038	0.00168
-0.00002	0.00000	0.00000	0.00000	-0.00002	-0.00001	0.00007	-0.00036	-0.00025	-0.00034	0.00001	0.00054	-0.00001	-0.00004	0.00028
0.00004	0.00004	-0.00026	0.00001	-0.00002	-0.00002	0.00000	0.00001	0.00007	0.00009	0.00004	-0.00001	0.00103	-0.00101	0.00028
0.00003	0.00010	0.00111	0.00001	-0.00024	-0.00017	-0.00002	0.00005	-0.00012	-0.00011	-0.00038	-0.00004	-0.00101	0.00578	-0.00094
-0.00001	-0.00002	-0.00028	-0.00026	-0.00003	0.00003	-0.00008	-0.00078	-0.00072	-0.00088	0.00168	0.00028	0.00028	-0.00094	0.01283
